year,county,sex,race,deaths
2010,Seminole,Male,Asian,0.0
2010,Seminole,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Seminole,Male,Other,0.0
2010,Seminole,Male,Unknown,0.0
2010,Seminole,Male,More than one race,0.0
2010,Sequoyah,Male,White,29.0
2010,Sequoyah,Male,Black or African American,0.0
2010,Sequoyah,Male,American Indian or Alaska Native,6.0
2010,Sequoyah,Male,Asian,0.0
2010,Sequoyah,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Sequoyah,Male,Other,0.0
2010,Sequoyah,Male,Unknown,0.0
2010,Sequoyah,Male,More than one race,9.0
2010,Stephens,Male,White,34.0
2010,Stephens,Male,Black or African American,0.0
2010,Stephens,Male,American Indian or Alaska Native,0.0
2010,Stephens,Male,Asian,0.0
2010,Stephens,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Stephens,Male,Other,0.0
2010,Stephens,Male,Unknown,0.0
2010,Stephens,Male,More than one race,0.0
2010,Texas,Male,White,7.0
2010,Texas,Male,Black or African American,0.0
2010,Texas,Male,American Indian or Alaska Native,0.0
2010,Texas,Male,Asian,0.0
2010,Texas,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Texas,Male,Other,0.0
2010,Texas,Male,Unknown,0.0
2010,Texas,Male,More than one race,0.0
2010,Tillman,Male,White,5.0
2010,Tillman,Male,Black or African American,0.0
2010,Tillman,Male,American Indian or Alaska Native,0.0
2010,Tillman,Male,Asian,0.0
2010,Tillman,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Tillman,Male,Other,0.0
2010,Tillman,Male,Unknown,0.0
2010,Tillman,Male,More than one race,0.0
2010,Tulsa,Male,White,255.0
2010,Tulsa,Male,Black or African American,64.0
2010,Tulsa,Male,American Indian or Alaska Native,22.0
2010,Tulsa,Male,Asian,0.0
2010,Tulsa,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Tulsa,Male,Other,20.0
2010,Tulsa,Male,Unknown,0.0
2010,Tulsa,Male,More than one race,9.0
2010,Wagoner,Male,White,36.0
2010,Wagoner,Male,Black or African American,0.0
2010,Wagoner,Male,American Indian or Alaska Native,5.0
2010,Wagoner,Male,Asian,0.0
2010,Wagoner,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Wagoner,Male,Other,0.0
2010,Wagoner,Male,Unknown,0.0
2010,Wagoner,Male,More than one race,0.0
2010,Washington,Male,White,20.0
2010,Washington,Male,Black or African American,0.0
2010,Washington,Male,American Indian or Alaska Native,0.0
2010,Washington,Male,Asian,0.0
2010,Washington,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Washington,Male,Other,0.0
2010,Washington,Male,Unknown,0.0
2010,Washington,Male,More than one race,0.0
2010,Washita,Male,White,5.0
2010,Washita,Male,Black or African American,0.0
2010,Washita,Male,American Indian or Alaska Native,0.0
2010,Washita,Male,Asian,0.0
2010,Washita,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Washita,Male,Other,0.0
2010,Washita,Male,Unknown,0.0
2010,Washita,Male,More than one race,0.0
2010,Woods,Male,White,0.0
2010,Woods,Male,Black or African American,0.0
2010,Woods,Male,American Indian or Alaska Native,0.0
2010,Woods,Male,Asian,0.0
2010,Woods,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Woods,Male,Other,0.0
2010,Woods,Male,Unknown,0.0
2010,Woods,Male,More than one race,0.0
2010,Woodward,Male,White,13.0
2010,Woodward,Male,Black or African American,0.0
2010,Woodward,Male,American Indian or Alaska Native,0.0
2010,Woodward,Male,Asian,0.0
2010,Woodward,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Woodward,Male,Other,0.0
2010,Woodward,Male,Unknown,0.0
2010,Woodward,Male,More than one race,0.0
2011,UNKNOWN,Male,White,0.0
2011,UNKNOWN,Male,Black or African American,0.0
