"Search Characteristic","Values Selected"
Year 2010
"",,"Births","Population","Birth Rate"
"County of Residence","Mother's Age"
"Major","18-19 years",5,153,32.7
,"20-24 years",35,390,89.7
,"25-29 years",43,389,110.5
,"30-34 years",20,490,40.8
,"35-39 years",7,422,16.6
,"40-44 years",".",408,"."
"Marshall","15-17 years",9,639,14.1
,"18-19 years",22,350,62.9
,"20-24 years",73,861,84.8
,"25-29 years",45,799,56.3
,"30-34 years",24,833,28.8
,"35-39 years",7,849,8.2
,"40-44 years",".",919,"."
"Mayes","15-17 years",16,1855,8.6
,"18-19 years",48,936,51.3
,"20-24 years",164,2487,65.9
,"25-29 years",152,2290,66.4
,"30-34 years",76,2449,31.0
,"35-39 years",33,2325,14.2
,"40-44 years",5,2450,2.0
,"Unknown Age",".",".","."
"Murray","15-17 years",".",557,"."
,"18-19 years",13,289,45.0
,"20-24 years",52,726,71.6
,"25-29 years",44,760,57.9
,"30-34 years",42,865,48.6
,"35-39 years",5,719,7.0
"Muskogee","10-14 years",".",4682,"."
,"15-17 years",33,2826,11.7
,"18-19 years",78,1842,42.3
,"20-24 years",336,4518,74.4
,"25-29 years",267,4415,60.5
,"30-34 years",146,4692,31.1
,"35-39 years",55,4203,13.1
,"40-44 years",11,4208,2.6
,"Unknown Age",".",".","."
"Noble","15-17 years",5,480,10.4
,"18-19 years",8,254,31.5
,"20-24 years",36,625,57.6
,"25-29 years",44,603,73.0
,"30-34 years",25,698,35.8
,"35-39 years",9,640,14.1
,"40-44 years",".",685,"."
"Nowata","15-17 years",".",461,"."
,"18-19 years",".",225,"."
,"20-24 years",48,624,76.9
,"25-29 years",37,554,66.8
,"30-34 years",13,612,21.2
,"35-39 years",7,562,12.5
"Okfuskee","10-14 years",".",732,"."
,"15-17 years",5,522,9.6
,"18-19 years",14,270,51.9
,"20-24 years",50,759,65.9
,"25-29 years",38,705,53.9
,"30-34 years",26,778,33.4
,"35-39 years",6,734,8.2
,"40-44 years",".",786,"."
"Oklahoma","10-14 years",16,51767,0.3
,"15-17 years",279,29036,9.6
,"18-19 years",709,18109,39.2
,"20-24 years",3113,55364,56.2
,"25-29 years",3765,62897,59.9
,"30-34 years",2949,59024,50.0
,"35-39 years",1181,49394,23.9
,"40-44 years",226,46431,4.9
,"45-54 years",8,93459,0.1
,"Unknown Age",9,".","."
"Okmulgee","15-17 years",15,1605,9.3
,"18-19 years",34,1123,30.3
,"20-24 years",178,2823,63.1
,"25-29 years",162,2209,73.3
,"30-34 years",83,2303,36.0
,"35-39 years",32,2031,15.8
,"40-44 years",8,2221,3.6
"Osage","10-14 years",".",3367,"."
,"15-17 years",10,2021,4.9
,"18-19 years",30,1069,28.1
,"20-24 years",142,2711,52.4
,"25-29 years",135,2503,53.9
,"30-34 years",90,2775,32.4
,"35-39 years",24,2655,9.0
,"40-44 years",5,2760,1.8
,"Unknown Age",".",".","."
"Ottawa","10-14 years",".",2174,"."
,"15-17 years",16,1389,11.5
,"18-19 years",48,1004,47.8
,"20-24 years",158,2259,69.9
,"25-29 years",133,1767,75.3
,"30-34 years",61,1809,33.7
,"35-39 years",27,1769,15.3
,"40-44 years",".",1874,"."
"Pawnee","10-14 years",".",1160,"."
,"15-17 years",7,739,9.5
,"18-19 years",14,339,41.3
,"20-24 years",74,904,81.9
,"25-29 years",58,805,72.0
,"30-34 years",37,902,41.0
,"35-39 years",9,917,9.8
,"40-44 years",".",964,"."
,"Unknown Age",".",".","."
"Payne","10-14 years",".",4196,"."
,"15-17 years",7,2341,3.0
,"18-19 years",44,5151,8.5
,"20-24 years",242,17258,14.0
,"25-29 years",304,6138,49.5
,"30-34 years",217,5075,42.8
,"35-39 years",71,4055,17.5
,"40-44 years",16,3535,4.5
"Pittsburg","10-14 years",".",2690,"."
,"15-17 years",14,1611,8.7
,"18-19 years",51,893,57.1
,"20-24 years",210,2718,77.3
,"25-29 years",137,2934,46.7
,"30-34 years",97,2897,33.5
,"35-39 years",26,2635,9.9
,"40-44 years",".",2571,"."
"Pontotoc","15-17 years",9,1407,6.4
,"18-19 years",44,1194,36.9
,"20-24 years",177,3286,53.9
,"25-29 years",168,2898,58.0
,"30-34 years",92,2504,36.7
,"35-39 years",37,2148,17.2
,"40-44 years",".",2064,"."
,"Unknown Age",".",".","."
"Pottawatomie","15-17 years",26,2955,8.8
,"18-19 years",79,2067,38.2
,"20-24 years",319,5099,62.6
,"25-29 years",279,4577,61.0
,"30-34 years",178,4591,38.8
,"35-39 years",54,4276,12.6
,"40-44 years",6,4460,1.3
,"Unknown Age",".",".","."
"Pushmataha","15-17 years",7,425,16.5
,"18-19 years",9,235,38.3
,"20-24 years",54,586,92.2
,"25-29 years",38,577,65.9
,"30-34 years",20,591,33.8
,"35-39 years",5,550,9.1
,"40-44 years",".",588,"."
,"Unknown Age",".",".","."
"Roger Mills","18-19 years",".",66,"."
,"20-24 years",14,172,81.4
,"25-29 years",17,191,89.0
,"30-34 years",11,268,41.0
,"35-39 years",".",208,"."
,"40-44 years",".",203,"."
"Rogers","15-17 years",20,4182,4.8
,"18-19 years",73,2281,32.0
,"20-24 years",288,5803,49.6
,"25-29 years",314,5183,60.6
,"30-34 years",215,5356,40.1
,"35-39 years",87,5160,16.9
,"40-44 years",17,5858,2.9
"Seminole","15-17 years",13,1159,11.2
,"18-19 years",27,680,39.7
,"20-24 years",112,1584,70.7
,"25-29 years",84,1315,63.9
,"30-34 years",57,1523,37.4
,"35-39 years",21,1409,14.9
,"40-44 years",".",1477,"."
,"45-54 years",".",3369,"."
,"Unknown Age",".",".","."
"Sequoyah","15-17 years",20,1867,10.7
,"18-19 years",48,1017,47.2
,"20-24 years",197,2491,79.1
,"25-29 years",162,2320,69.8
,"30-34 years",81,2413,33.6
,"35-39 years",35,2412,14.5
,"40-44 years",".",2684,"."
,"45-54 years",".",5854,"."
"Stephens","10-14 years",".",3031,"."
,"15-17 years",12,1837,6.5
,"18-19 years",56,955,58.6
,"20-24 years",181,2604,69.5
,"25-29 years",172,2610,65.9
,"30-34 years",106,2785,38.1
,"35-39 years",35,2586,13.5
,"40-44 years",7,2515,2.8
"Texas","10-14 years",".",1689,"."
,"15-17 years",10,963,10.4
,"18-19 years",18,686,26.2
,"20-24 years",121,1786,67.7
,"25-29 years",123,1634,75.3
,"30-34 years",80,1613,49.6
,"35-39 years",29,1462,19.8
,"40-44 years",9,1363,6.6
,"45-54 years",".",2570,"."
,"Unknown Age",".",".","."
"Tillman","15-17 years",5,326,15.3
,"18-19 years",".",175,"."
,"20-24 years",35,437,80.1
,"25-29 years",39,445,87.6
,"30-34 years",15,441,34.0
,"35-39 years",".",394,"."
,"40-44 years",".",430,"."
"Tulsa","10-14 years",12,43742,0.3
,"15-17 years",197,25581,7.7
,"18-19 years",514,14840,34.6
,"20-24 years",2382,44019,54.1
,"25-29 years",2910,46792,62.2
,"30-34 years",2310,46269,49.9
,"35-39 years",873,40869,21.4
,"40-44 years",175,39857,4.4
,"45-54 years",5,79750,0.1
,"Unknown Age",".",".","."
"Wagoner","15-17 years",16,3273,4.9
,"18-19 years",38,1676,22.7
,"20-24 years",217,4146,52.3
,"25-29 years",308,4328,71.2
,"30-34 years",239,5194,46.0
,"35-39 years",74,4860,15.2
,"40-44 years",12,5142,2.3
,"45-54 years",".",10191,"."
"Washington","10-14 years",".",3470,"."
,"15-17 years",13,2023,6.4
,"18-19 years",39,1177,33.1
,"20-24 years",190,3219,59.0
,"25-29 years",208,3086,67.4
,"30-34 years",153,3270,46.8
,"35-39 years",33,2895,11.4
,"40-44 years",10,2998,3.3
,"45-54 years",".",6460,"."
"Washita","15-17 years",9,529,17.0
,"18-19 years",11,226,48.7
,"20-24 years",49,614,79.8
,"25-29 years",66,702,94.0
,"30-34 years",25,770,32.5
,"35-39 years",10,681,14.7
"Woods","18-19 years",7,424,16.5
,"20-24 years",39,1232,31.7
,"25-29 years",43,727,59.1
,"30-34 years",21,593,35.4
,"35-39 years",10,512,19.5
,"40-44 years",".",396,"."
"Woodward","15-17 years",5,887,5.6
,"18-19 years",28,443,63.2
,"20-24 years",101,1425,70.9
,"25-29 years",86,1613,53.3
,"30-34 years",58,1642,35.3
,"35-39 years",19,1420,13.4
,"40-44 years",5,1282,3.9

Year 2015
"",,"Births","Population","Birth Rate"
"County of Residence","Mother's Age"
"UNKNOWN","10-14 years",".",".","."
,"15-17 years",".",".","."
,"18-19 years",5,".","."
,"20-24 years",23,".","."
,"25-29 years",13,".","."
,"30-34 years",14,".","."
,"35-39 years",5,".","."
"Adair","15-17 years",14,1003,14.0
,"18-19 years",25,554,45.1
,"20-24 years",98,1384,70.8
,"25-29 years",94,1245,75.5
,"30-34 years",40,1321,30.3
,"35-39 years",21,1323,15.9
,"40-44 years",".",1405,"."
,"45-54 years",".",2928,"."
"Alfalfa","18-19 years",5,101,49.5
,"20-24 years",15,273,54.9
,"25-29 years",25,316,79.1
,"30-34 years",16,324,49.4
,"35-39 years",5,440,11.4
,"40-44 years",".",451,"."
"Atoka","15-17 years",5,546,9.2
,"18-19 years",10,278,36.0
,"20-24 years",61,870,70.1
,"25-29 years",47,859,54.7
,"30-34 years",20,885,22.6
,"35-39 years",8,811,9.9
,"40-44 years",".",844,"."
"Beaver","15-17 years",".",244,"."
,"18-19 years",".",121,"."
,"20-24 years",22,325,67.7
,"25-29 years",16,257,62.3
,"30-34 years",5,295,16.9
,"35-39 years",".",300,"."
,"40-44 years",".",306,"."
"Beckham","15-17 years",9,923,9.8
,"18-19 years",26,476,54.6
,"20-24 years",113,1700,66.5
,"25-29 years",118,1918,61.5
,"30-34 years",58,1949,29.8
,"35-39 years",16,1592,10.1
,"40-44 years",".",1415,"."
"Blaine","15-17 years",5,400,12.5
,"18-19 years",14,208,67.3
,"20-24 years",45,560,80.4
,"25-29 years",47,495,94.9
,"30-34 years",17,526,32.3
,"35-39 years",8,507,15.8
,"40-44 years",".",507,"."
"Bryan","10-14 years",".",2866,"."
,"15-17 years",12,1786,6.7
,"18-19 years",44,1229,35.8
,"20-24 years",192,3188,60.2
,"25-29 years",186,3413,54.5
,"30-34 years",90,2855,31.5
,"35-39 years",39,2678,14.6
,"40-44 years",9,2515,3.6
"Caddo","15-17 years",11,1288,8.5
,"18-19 years",19,665,28.6
,"20-24 years",117,1797,65.1
,"25-29 years",137,1965,69.7
,"30-34 years",68,1930,35.2
,"35-39 years",21,1759,11.9
,"40-44 years",5,1646,3.0
,"Unknown Age",".",".","."
"Canadian","10-14 years",".",10132,"."
,"15-17 years",35,5980,5.9
,"18-19 years",67,2965,22.6
,"20-24 years",352,7350,47.9
,"25-29 years",583,9119,63.9
,"30-34 years",488,10579,46.1
,"35-39 years",178,9716,18.3
,"40-44 years",30,9229,3.3
,"45-54 years",5,17235,0.3
,"Unknown Age",".",".","."
"Carter","10-14 years",".",3397,"."
,"15-17 years",36,2092,17.2
,"18-19 years",60,1059,56.7
,"20-24 years",259,2956,87.6
,"25-29 years",187,2971,62.9
,"30-34 years",120,3129,38.4
,"35-39 years",46,3036,15.2
,"40-44 years",9,2990,3.0
,"45-54 years",".",6147,"."
"Cherokee","10-14 years",".",3039,"."
,"15-17 years",18,1996,9.0
,"18-19 years",45,1902,23.7
,"20-24 years",204,5513,37.0
,"25-29 years",171,2800,61.1
,"30-34 years",128,2963,43.2
,"35-39 years",43,2754,15.6
,"40-44 years",10,2590,3.9
"Choctaw","15-17 years",7,588,11.9
,"18-19 years",24,324,74.1
,"20-24 years",74,788,93.9
,"25-29 years",72,838,85.9
,"30-34 years",23,844,27.3
,"35-39 years",12,808,14.9
,"40-44 years",".",816,"."
"Cimarron","18-19 years",".",39,"."
,"20-24 years",6,97,61.9
,"25-29 years",5,112,44.6
,"30-34 years",6,115,52.2
,"35-39 years",".",77,"."
,"40-44 years",".",129,"."
"Cleveland","10-14 years",".",17506,"."
,"15-17 years",40,10339,3.9
,"18-19 years",119,9833,12.1
,"20-24 years",601,30710,19.6
,"25-29 years",935,20379,45.9
,"30-34 years",839,20760,40.4
,"35-39 years",300,18128,16.5
,"40-44 years",47,16739,2.8
,"45-54 years",".",32458,"."
,"Unknown Age",".",".","."
"Coal","15-17 years",".",234,"."
,"18-19 years",7,137,51.1
,"20-24 years",40,339,118.0
,"25-29 years",24,288,83.3
,"30-34 years",5,264,18.9
,"35-39 years",".",309,"."
"Comanche","15-17 years",25,4681,5.3
,"18-19 years",126,4314,29.2
,"20-24 years",567,12158,46.6
,"25-29 years",594,10943,54.3
,"30-34 years",364,9964,36.5
,"35-39 years",111,8068,13.8
,"40-44 years",25,7086,3.5
,"Unknown Age",".",".","."
"Cotton","18-19 years",".",125,"."
,"20-24 years",22,342,64.3
,"25-29 years",18,323,55.7
,"30-34 years",8,344,23.3
,"35-39 years",".",325,"."
,"40-44 years",".",336,"."
"Craig","10-14 years",".",943,"."
,"15-17 years",".",589,"."
,"18-19 years",14,326,42.9
,"20-24 years",47,880,53.4
,"25-29 years",60,888,67.6
,"30-34 years",25,850,29.4
,"35-39 years",7,867,8.1
,"40-44 years",".",843,"."
"Creek","10-14 years",".",4905,"."
,"15-17 years",11,3069,3.6
,"18-19 years",61,1604,38.0
,"20-24 years",256,4137,61.9
,"25-29 years",277,4027,68.8
,"30-34 years",187,4208,44.4
,"35-39 years",51,4168,12.2
,"40-44 years",16,4257,3.8
"Custer","15-17 years",11,1125,9.8
,"18-19 years",34,1186,28.7
,"20-24 years",125,3853,32.4
,"25-29 years",132,2167,60.9
,"30-34 years",92,2000,46.0
,"35-39 years",32,1614,19.8
,"40-44 years",6,1434,4.2
"Delaware","15-17 years",17,1653,10.3
,"18-19 years",35,928,37.7
,"20-24 years",155,2134,72.6
,"25-29 years",130,2033,63.9
,"30-34 years",73,1990,36.7
,"35-39 years",24,2056,11.7
,"40-44 years",".",2241,"."
"Dewey","15-17 years",".",231,"."
,"18-19 years",8,105,76.2
,"20-24 years",20,274,73.0
,"25-29 years",27,271,99.6
,"30-34 years",16,285,56.1
,"35-39 years",6,281,21.4
"Ellis","15-17 years",".",188,"."
,"18-19 years",5,89,56.2
,"20-24 years",15,223,67.3
,"25-29 years",13,176,73.9
,"30-34 years",10,232,43.1
,"35-39 years",".",267,"."
"Garfield","15-17 years",24,2455,9.8
,"18-19 years",52,1465,35.5
,"20-24 years",288,4339,66.4
,"25-29 years",304,4537,67.0
,"30-34 years",223,4645,48.0
,"35-39 years",84,3873,21.7
,"40-44 years",25,3276,7.6
,"45-54 years",".",7434,"."
"Garvin","15-17 years",9,1228,7.3
,"18-19 years",29,590,49.2
,"20-24 years",135,1576,85.7
,"25-29 years",114,1613,70.7
,"30-34 years",55,1828,30.1
,"35-39 years",30,1625,18.5
,"40-44 years",".",1678,"."
"Grady","10-14 years",".",3901,"."
,"15-17 years",8,2434,3.3
,"18-19 years",41,1340,30.6
,"20-24 years",153,3232,47.3
,"25-29 years",204,3226,63.2
,"30-34 years",133,3486,38.2
,"35-39 years",41,3513,11.7
,"40-44 years",9,3372,2.7
"Grant","18-19 years",".",94,"."
,"20-24 years",17,225,75.6
,"25-29 years",19,236,80.5
,"30-34 years",10,265,37.7
,"35-39 years",6,223,26.9
"Greer","15-17 years",".",196,"."
,"18-19 years",7,111,63.1
,"20-24 years",27,373,72.4
,"25-29 years",32,515,62.1
,"30-34 years",8,464,17.2
,"35-39 years",".",404,"."
"Harmon","18-19 years",".",52,"."
,"20-24 years",14,144,97.2
,"25-29 years",12,156,76.9
,"30-34 years",5,187,26.7
,"40-44 years",".",173,"."
"Harper","18-19 years",7,81,86.4
,"20-24 years",9,199,45.2
,"25-29 years",21,154,136.4
,"30-34 years",14,230,60.9
,"35-39 years",5,231,21.6
,"40-44 years",".",176,"."
"Haskell","15-17 years",5,575,8.7
,"18-19 years",20,282,70.9
,"20-24 years",47,706,66.6
,"25-29 years",36,720,50.0
,"30-34 years",36,738,48.8
,"35-39 years",12,728,16.5
,"40-44 years",".",693,"."
"Hughes","10-14 years",".",887,"."
,"15-17 years",7,544,12.9
,"18-19 years",16,300,53.3
,"20-24 years",58,894,64.9
,"25-29 years",51,868,58.8
,"30-34 years",22,968,22.7
,"35-39 years",6,802,7.5
"Jackson","10-14 years",".",1650,"."
,"15-17 years",9,959,9.4
,"18-19 years",23,607,37.9
,"20-24 years",128,2123,60.3
,"25-29 years",117,1985,58.9
,"30-34 years",87,1764,49.3
,"35-39 years",26,1518,17.1
,"40-44 years",".",1460,"."
"Jefferson","10-14 years",".",408,"."
,"18-19 years",".",135,"."
,"20-24 years",25,316,79.1
,"25-29 years",19,349,54.4
,"30-34 years",16,309,51.8
,"35-39 years",6,356,16.9
"Johnston","15-17 years",".",427,"."
,"18-19 years",10,353,28.3
,"20-24 years",39,673,57.9
,"25-29 years",30,647,46.4
,"30-34 years",22,626,35.1
,"35-39 years",5,577,8.7
,"40-44 years",".",639,"."
"Kay","10-14 years",".",3130,"."
,"15-17 years",25,1889,13.2
,"18-19 years",59,1180,50.0
,"20-24 years",227,2860,79.4
,"25-29 years",170,2563,66.3
,"30-34 years",102,2713,37.6
,"35-39 years",36,2624,13.7
,"40-44 years",".",2391,"."
,"Unknown Age",".",".","."
"Kingfisher","15-17 years",".",708,"."
,"18-19 years",7,368,19.0
,"20-24 years",54,928,58.2
,"25-29 years",63,844,74.6
,"30-34 years",54,984,54.9
,"35-39 years",15,902,16.6
,"40-44 years",".",921,"."
"Kiowa","15-17 years",6,403,14.9
,"18-19 years",8,214,37.4
,"20-24 years",32,497,64.4
,"25-29 years",43,478,90.0
,"30-34 years",31,540,57.4
,"35-39 years",5,488,10.2
"Latimer","15-17 years",8,420,19.0
,"18-19 years",14,348,40.2
,"20-24 years",51,778,65.6
,"25-29 years",41,545,75.2
,"30-34 years",18,611,29.5
,"35-39 years",6,532,11.3
,"40-44 years",".",587,"."
"Le Flore","10-14 years",".",3412,"."
,"15-17 years",26,2027,12.8
,"18-19 years",45,1182,38.1
,"20-24 years",216,3013,71.7
,"25-29 years",171,2993,57.1
,"30-34 years",81,2884,28.1
,"35-39 years",39,3031,12.9
,"40-44 years",".",2961,"."
,"45-54 years",".",6462,"."
"Lincoln","10-14 years",".",2531,"."
,"15-17 years",10,1597,6.3
,"18-19 years",28,761,36.8
,"20-24 years",137,1935,70.8
,"25-29 years",139,1915,72.6
,"30-34 years",70,1979,35.4
,"35-39 years",29,1940,14.9
,"40-44 years",".",2060,"."
"Logan","15-17 years",8,1935,4.1
,"18-19 years",21,1836,11.4
,"20-24 years",111,3134,35.4
,"25-29 years",165,2378,69.4
,"30-34 years",172,2900,59.3
,"35-39 years",61,2733,22.3
,"40-44 years",14,2926,4.8
,"45-54 years",".",5982,"."
"Love","15-17 years",".",449,"."
,"18-19 years",13,203,64.0
,"20-24 years",43,574,74.9
,"25-29 years",31,589,52.6
,"30-34 years",15,646,23.2
,"35-39 years",12,535,22.4
,"40-44 years",".",549,"."
"McClain","15-17 years",9,1667,5.4
,"18-19 years",17,899,18.9
,"20-24 years",121,2079,58.2
,"25-29 years",137,2097,65.3
,"30-34 years",118,2442,48.3
,"35-39 years",36,2506,14.4
,"40-44 years",7,2493,2.8
,"45-54 years",".",5150,"."
"McCurtain","15-17 years",19,1426,13.3
,"18-19 years",31,772,40.2
,"20-24 years",171,1990,85.9
,"25-29 years",131,1894,69.2
,"30-34 years",60,1886,31.8
,"35-39 years",26,1858,14.0
,"40-44 years",".",1946,"."
"McIntosh","15-17 years",9,724,12.4
,"18-19 years",16,404,39.6
,"20-24 years",87,947,91.9
,"25-29 years",71,890,79.8
,"30-34 years",30,1048,28.6
,"35-39 years",15,937,16.0
,"40-44 years",".",1052,"."
"Major","15-17 years",".",298,"."
,"18-19 years",8,148,54.1
,"20-24 years",29,389,74.6
,"25-29 years",37,388,95.4
,"30-34 years",15,481,31.2
,"35-39 years",12,446,26.9
,"40-44 years",".",405,"."
"Marshall","15-17 years",7,667,10.5
,"18-19 years",22,347,63.4
,"20-24 years",68,886,76.7
,"25-29 years",47,813,57.8
,"30-34 years",24,845,28.4
,"35-39 years",16,876,18.3
,"40-44 years",5,868,5.8
,"45-54 years",".",2063,"."
,"Unknown Age",".",".","."
"Mayes","15-17 years",15,1847,8.1
,"18-19 years",36,938,38.4
,"20-24 years",167,2454,68.1
,"25-29 years",146,2329,62.7
,"30-34 years",87,2405,36.2
,"35-39 years",27,2364,11.4
,"40-44 years",".",2355,"."
"Murray","15-17 years",".",585,"."
,"18-19 years",8,310,25.8
,"20-24 years",66,719,91.8
,"25-29 years",49,767,63.9
,"30-34 years",29,832,34.9
,"35-39 years",7,789,8.9
,"40-44 years",".",844,"."
"Muskogee","10-14 years",".",4641,"."
,"15-17 years",22,2786,7.9
,"18-19 years",92,1845,49.9
,"20-24 years",302,4461,67.7
,"25-29 years",278,4402,63.2
,"30-34 years",161,4558,35.3
,"35-39 years",42,4293,9.8
,"40-44 years",7,4125,1.7
"Noble","15-17 years",5,499,10.0
,"18-19 years",10,265,37.7
,"20-24 years",34,608,55.9
,"25-29 years",39,591,66.0
,"30-34 years",20,707,28.3
,"35-39 years",8,642,12.5
"Nowata","15-17 years",".",443,"."
,"18-19 years",7,227,30.8
,"20-24 years",35,630,55.6
,"25-29 years",40,573,69.8
,"30-34 years",25,604,41.4
,"35-39 years",13,579,22.5
"Okfuskee","15-17 years",6,514,11.7
,"18-19 years",12,273,44.0
,"20-24 years",46,753,61.1
,"25-29 years",49,717,68.3
,"30-34 years",24,759,31.6
,"35-39 years",7,743,9.4
,"40-44 years",".",743,"."
"Oklahoma","10-14 years",7,52372,0.1
,"15-17 years",269,29533,9.1
,"18-19 years",614,18329,33.5
,"20-24 years",3078,54551,56.4
,"25-29 years",3829,63162,60.6
,"30-34 years",3179,60065,52.9
,"35-39 years",1280,51172,25.0
,"40-44 years",229,46390,4.9
,"45-54 years",14,92712,0.2
,"Unknown Age",".",".","."
"Okmulgee","10-14 years",".",2794,"."
,"15-17 years",12,1671,7.2
,"18-19 years",43,1078,39.9
,"20-24 years",166,2716,61.1
,"25-29 years",162,2286,70.9
,"30-34 years",61,2321,26.3
,"35-39 years",32,2110,15.2
,"40-44 years",8,2195,3.6
"Osage","15-17 years",7,2032,3.4
,"18-19 years",21,1032,20.3
,"20-24 years",152,2701,56.3
,"25-29 years",144,2572,56.0
,"30-34 years",84,2748,30.6
,"35-39 years",45,2685,16.8
,"40-44 years",6,2740,2.2
"Ottawa","10-14 years",".",2130,"."
,"15-17 years",13,1338,9.7
,"18-19 years",45,1039,43.3
,"20-24 years",147,2184,67.3
,"25-29 years",149,1835,81.2
,"30-34 years",70,1790,39.1
,"35-39 years",18,1784,10.1
,"40-44 years",8,1824,4.4
"Pawnee","15-17 years",".",747,"."
,"18-19 years",17,362,47.0
,"20-24 years",69,901,76.6
,"25-29 years",56,839,66.7
,"30-34 years",49,890,55.1
,"35-39 years",8,940,8.5
,"40-44 years",".",959,"."
,"Unknown Age",".",".","."
"Payne","10-14 years",".",4268,"."
,"15-17 years",16,2443,6.5
,"18-19 years",39,5157,7.6
,"20-24 years",255,17229,14.8
,"25-29 years",295,5958,49.5
,"30-34 years",225,5128,43.9
,"35-39 years",93,4121,22.6
